counts_1_3,counts_2_3,counts_1_2,timestamp
18, 18, 21, Fri Jan 20 03:07:53 2023
17, 16, 21, Fri Jan 20 03:08:53 2023
16, 11, 10, Fri Jan 20 03:09:53 2023
5, 9, 10, Fri Jan 20 03:10:53 2023
14, 7, 14, Fri Jan 20 03:11:53 2023
15, 11, 15, Fri Jan 20 03:12:53 2023
13, 7, 6, Fri Jan 20 03:13:53 2023
12, 10, 9, Fri Jan 20 03:14:53 2023
18, 15, 20, Fri Jan 20 03:17:53 2023
18, 17, 19, Fri Jan 20 03:18:53 2023
18, 15, 20, Fri Jan 20 03:19:53 2023
16, 15, 18, Fri Jan 20 03:20:53 2023
17, 13, 13, Fri Jan 20 03:21:53 2023
14, 11, 14, Fri Jan 20 03:22:53 2023
16, 16, 25, Fri Jan 20 03:23:53 2023
16, 11, 16, Fri Jan 20 03:24:53 2023
14, 11, 17, Fri Jan 20 03:25:53 2023
13, 14, 17, Fri Jan 20 03:26:53 2023
15, 14, 17, Fri Jan 20 03:27:53 2023
12, 11, 13, Fri Jan 20 03:28:53 2023
11, 11, 6, Fri Jan 20 03:29:53 2023
10, 8, 12, Fri Jan 20 03:30:53 2023
14, 8, 14, Fri Jan 20 03:31:53 2023
10, 14, 19, Fri Jan 20 03:32:53 2023
8, 7, 11, Fri Jan 20 03:33:53 2023
20, 14, 19, Fri Jan 20 03:34:53 2023
17, 10, 14, Fri Jan 20 03:35:53 2023
13, 11, 20, Fri Jan 20 03:36:53 2023
14, 19, 19, Fri Jan 20 03:37:53 2023
17, 13, 18, Fri Jan 20 03:38:53 2023
11, 10, 11, Fri Jan 20 03:39:53 2023
9, 7, 10, Fri Jan 20 03:40:53 2023
9, 7, 12, Fri Jan 20 03:41:53 2023
16, 14, 13, Fri Jan 20 03:42:53 2023
15, 10, 15, Fri Jan 20 03:43:53 2023
22, 15, 18, Fri Jan 20 03:44:53 2023
17, 9, 21, Fri Jan 20 03:45:53 2023
16, 14, 19, Fri Jan 20 03:46:53 2023
19, 12, 14, Fri Jan 20 03:49:53 2023
16, 16, 15, Fri Jan 20 03:50:53 2023
12, 16, 19, Fri Jan 20 03:51:53 2023
11, 11, 14, Fri Jan 20 03:52:53 2023
20, 16, 18, Fri Jan 20 03:53:53 2023
15, 17, 21, Fri Jan 20 03:54:53 2023
13, 8, 19, Fri Jan 20 03:55:53 2023
16, 11, 11, Fri Jan 20 03:56:53 2023
14, 14, 12, Fri Jan 20 03:57:53 2023
15, 15, 21, Fri Jan 20 03:58:53 2023
12, 12, 17, Fri Jan 20 03:59:53 2023
16, 15, 15, Fri Jan 20 04:00:53 2023
13, 13, 11, Fri Jan 20 04:01:53 2023
13, 10, 14, Fri Jan 20 04:02:53 2023
25, 13, 17, Fri Jan 20 04:03:53 2023
14, 14, 17, Fri Jan 20 04:04:53 2023
14, 13, 18, Fri Jan 20 04:05:53 2023
14, 17, 13, Fri Jan 20 04:06:53 2023
17, 22, 22, Fri Jan 20 04:07:53 2023
33, 21, 28, Fri Jan 20 04:08:53 2023
