Chan_0_1,Chan_0_2,Chan_1_2,timestamp
1562, 1096, 1431, Wed Jun 28 13:25:18 2023
1578, 1121, 1474, Wed Jun 28 13:26:18 2023
1632, 1144, 1510, Wed Jun 28 13:27:18 2023
1611, 1095, 1479, Wed Jun 28 13:28:18 2023
1642, 1094, 1508, Wed Jun 28 13:29:18 2023
1578, 1098, 1448, Wed Jun 28 13:30:18 2023
1582, 1095, 1455, Wed Jun 28 13:31:18 2023
1582, 1131, 1494, Wed Jun 28 13:32:18 2023
1595, 1101, 1470, Wed Jun 28 13:33:18 2023
1566, 1058, 1415, Wed Jun 28 13:34:18 2023
1562, 1101, 1454, Wed Jun 28 13:35:18 2023
1583, 1098, 1450, Wed Jun 28 13:36:18 2023
1648, 1134, 1505, Wed Jun 28 13:37:18 2023
1626, 1136, 1459, Wed Jun 28 13:38:18 2023
1539, 1058, 1435, Wed Jun 28 13:39:18 2023
1611, 1112, 1467, Wed Jun 28 13:40:18 2023
1527, 1034, 1427, Wed Jun 28 13:41:18 2023
1586, 1132, 1472, Wed Jun 28 13:42:18 2023
1557, 1096, 1476, Wed Jun 28 13:43:18 2023
1573, 1069, 1442, Wed Jun 28 13:44:18 2023
1595, 1098, 1437, Wed Jun 28 13:45:18 2023
1567, 1098, 1462, Wed Jun 28 13:46:18 2023
1623, 1109, 1491, Wed Jun 28 13:47:18 2023
1527, 1091, 1469, Wed Jun 28 13:48:18 2023
1593, 1120, 1497, Wed Jun 28 13:49:18 2023
1670, 1128, 1497, Wed Jun 28 13:50:18 2023
1583, 1064, 1433, Wed Jun 28 13:51:18 2023
1632, 1137, 1494, Wed Jun 28 13:52:18 2023
1548, 1067, 1457, Wed Jun 28 13:53:18 2023
1597, 1070, 1442, Wed Jun 28 13:54:18 2023
1611, 1100, 1482, Wed Jun 28 13:55:18 2023
1570, 1085, 1420, Wed Jun 28 13:56:18 2023
1546, 1067, 1401, Wed Jun 28 13:57:18 2023
1626, 1108, 1495, Wed Jun 28 13:58:18 2023
1655, 1127, 1518, Wed Jun 28 13:59:18 2023
1518, 1034, 1409, Wed Jun 28 14:00:18 2023
1645, 1098, 1435, Wed Jun 28 14:01:18 2023
1604, 1109, 1482, Wed Jun 28 14:02:18 2023
1589, 1088, 1455, Wed Jun 28 14:03:18 2023
1603, 1130, 1477, Wed Jun 28 14:04:18 2023
1609, 1082, 1416, Wed Jun 28 14:05:18 2023
1646, 1126, 1528, Wed Jun 28 14:06:18 2023
1596, 1087, 1449, Wed Jun 28 14:07:18 2023
1647, 1156, 1521, Wed Jun 28 14:08:18 2023
1681, 1168, 1585, Wed Jun 28 14:09:18 2023
1556, 1079, 1452, Wed Jun 28 14:10:18 2023
1603, 1109, 1485, Wed Jun 28 14:11:18 2023
1614, 1061, 1421, Wed Jun 28 14:12:18 2023
1686, 1153, 1558, Wed Jun 28 14:13:18 2023
1629, 1124, 1552, Wed Jun 28 14:14:18 2023
1626, 1141, 1501, Wed Jun 28 14:15:18 2023
1578, 1050, 1446, Wed Jun 28 14:16:18 2023
1649, 1134, 1505, Wed Jun 28 14:17:18 2023
1649, 1122, 1507, Wed Jun 28 14:18:18 2023
1630, 1149, 1511, Wed Jun 28 14:19:18 2023
1610, 1111, 1517, Wed Jun 28 14:20:18 2023
1651, 1178, 1580, Wed Jun 28 14:21:18 2023
1636, 1092, 1436, Wed Jun 28 14:22:18 2023
1674, 1139, 1517, Wed Jun 28 14:23:18 2023
1592, 1121, 1508, Wed Jun 28 14:24:18 2023
1626, 1107, 1491, Wed Jun 28 14:25:18 2023
1625, 1121, 1447, Wed Jun 28 14:26:18 2023
1624, 1094, 1490, Wed Jun 28 14:27:18 2023
1612, 1100, 1469, Wed Jun 28 14:28:18 2023
1573, 1113, 1514, Wed Jun 28 14:29:18 2023
1697, 1142, 1504, Wed Jun 28 14:30:18 2023
1700, 1177, 1539, Wed Jun 28 14:31:18 2023
1607, 1077, 1426, Wed Jun 28 14:32:18 2023
1608, 1097, 1455, Wed Jun 28 14:33:18 2023
1558, 1048, 1444, Wed Jun 28 14:34:18 2023
1609, 1135, 1506, Wed Jun 28 14:35:18 2023
1666, 1146, 1523, Wed Jun 28 14:36:18 2023
1672, 1154, 1546, Wed Jun 28 14:37:18 2023
1597, 1094, 1499, Wed Jun 28 14:38:18 2023
1589, 1119, 1442, Wed Jun 28 14:39:18 2023
1604, 1095, 1482, Wed Jun 28 14:40:18 2023
1632, 1132, 1498, Wed Jun 28 14:41:18 2023
1593, 1108, 1476, Wed Jun 28 14:42:18 2023
1559, 1103, 1476, Wed Jun 28 14:43:18 2023
1491, 1066, 1418, Wed Jun 28 14:44:18 2023
1590, 1086, 1473, Wed Jun 28 14:45:18 2023
1526, 1033, 1397, Wed Jun 28 14:46:18 2023
1644, 1109, 1444, Wed Jun 28 14:47:18 2023
1635, 1153, 1573, Wed Jun 28 14:48:18 2023
1561, 1091, 1461, Wed Jun 28 14:49:18 2023
1631, 1115, 1459, Wed Jun 28 14:50:18 2023
1563, 1069, 1461, Wed Jun 28 14:51:18 2023
1576, 1094, 1459, Wed Jun 28 14:52:18 2023
1612, 1117, 1482, Wed Jun 28 14:53:18 2023
1557, 1083, 1473, Wed Jun 28 14:54:18 2023
1588, 1109, 1480, Wed Jun 28 14:55:18 2023
1627, 1100, 1420, Wed Jun 28 14:56:18 2023
1573, 1099, 1472, Wed Jun 28 14:57:18 2023
1596, 1100, 1456, Wed Jun 28 14:58:18 2023
1542, 1073, 1404, Wed Jun 28 14:59:18 2023
1697, 1188, 1556, Wed Jun 28 15:00:18 2023
1575, 1096, 1451, Wed Jun 28 15:01:18 2023
1591, 1107, 1458, Wed Jun 28 15:02:18 2023
1586, 1098, 1462, Wed Jun 28 15:03:18 2023
1604, 1120, 1495, Wed Jun 28 15:04:18 2023
1591, 1102, 1457, Wed Jun 28 15:05:18 2023
1584, 1066, 1424, Wed Jun 28 15:06:18 2023
1470, 994, 1324, Wed Jun 28 15:07:18 2023
1356, 938, 1267, Wed Jun 28 15:08:18 2023
1360, 927, 1191, Wed Jun 28 15:09:18 2023
1351, 923, 1227, Wed Jun 28 15:10:18 2023
1378, 971, 1281, Wed Jun 28 15:11:18 2023
1383, 966, 1269, Wed Jun 28 15:12:18 2023
1349, 925, 1224, Wed Jun 28 15:13:18 2023
1415, 989, 1317, Wed Jun 28 15:14:18 2023
1397, 945, 1289, Wed Jun 28 15:15:18 2023
1382, 1004, 1309, Wed Jun 28 15:16:18 2023
1429, 993, 1305, Wed Jun 28 15:17:18 2023
1398, 992, 1308, Wed Jun 28 15:18:18 2023
1402, 973, 1266, Wed Jun 28 15:19:18 2023
1356, 933, 1248, Wed Jun 28 15:20:18 2023
1334, 944, 1253, Wed Jun 28 15:21:18 2023
1410, 982, 1256, Wed Jun 28 15:22:18 2023
1327, 932, 1233, Wed Jun 28 15:23:18 2023
1354, 931, 1258, Wed Jun 28 15:24:18 2023
1284, 917, 1224, Wed Jun 28 15:25:18 2023
1319, 908, 1189, Wed Jun 28 15:26:18 2023
1346, 910, 1209, Wed Jun 28 15:27:18 2023
1420, 986, 1284, Wed Jun 28 15:28:18 2023
1373, 982, 1318, Wed Jun 28 15:29:18 2023
1474, 1018, 1342, Wed Jun 28 15:30:18 2023
1403, 973, 1291, Wed Jun 28 15:31:18 2023
1342, 934, 1215, Wed Jun 28 15:32:18 2023
1353, 941, 1245, Wed Jun 28 15:33:18 2023
1341, 959, 1233, Wed Jun 28 15:34:18 2023
1337, 948, 1255, Wed Jun 28 15:35:18 2023
1360, 957, 1240, Wed Jun 28 15:36:18 2023
1344, 929, 1212, Wed Jun 28 15:37:18 2023
1414, 1003, 1289, Wed Jun 28 15:38:18 2023
1371, 927, 1214, Wed Jun 28 15:39:18 2023
1284, 914, 1211, Wed Jun 28 15:40:18 2023
