Chan_0_1,Chan_0_2,Chan_1_2,timestamp
1721, 1047, 1740, Fri Nov 17 23:05:44 2023
1685, 1032, 1720, Fri Nov 17 23:06:44 2023
1677, 1054, 1778, Fri Nov 17 23:07:44 2023
1667, 1028, 1733, Fri Nov 17 23:08:44 2023
1671, 981, 1686, Fri Nov 17 23:09:44 2023
1635, 997, 1636, Fri Nov 17 23:10:44 2023
1723, 1030, 1725, Fri Nov 17 23:11:44 2023
1615, 957, 1674, Fri Nov 17 23:12:44 2023
1646, 998, 1727, Fri Nov 17 23:13:44 2023
1754, 1129, 1906, Fri Nov 17 23:14:44 2023
1710, 1053, 1735, Fri Nov 17 23:15:44 2023
1656, 999, 1714, Fri Nov 17 23:16:44 2023
1698, 1008, 1686, Fri Nov 17 23:17:44 2023
1682, 1022, 1700, Fri Nov 17 23:18:44 2023
1677, 999, 1740, Fri Nov 17 23:19:44 2023
1620, 980, 1644, Fri Nov 17 23:20:44 2023
1697, 1035, 1689, Fri Nov 17 23:21:44 2023
1648, 1000, 1703, Fri Nov 17 23:22:44 2023
1592, 970, 1648, Fri Nov 17 23:23:44 2023
1703, 1058, 1735, Fri Nov 17 23:24:44 2023
1544, 946, 1662, Fri Nov 17 23:25:44 2023
1581, 945, 1671, Fri Nov 17 23:26:44 2023
1635, 1016, 1686, Fri Nov 17 23:27:44 2023
1605, 949, 1624, Fri Nov 17 23:28:44 2023
1666, 997, 1693, Fri Nov 17 23:29:44 2023
1579, 940, 1645, Fri Nov 17 23:30:44 2023
1697, 1039, 1702, Fri Nov 17 23:31:44 2023
1504, 898, 1594, Fri Nov 17 23:32:44 2023
1627, 967, 1661, Fri Nov 17 23:33:44 2023
1703, 1045, 1740, Fri Nov 17 23:34:44 2023
1635, 990, 1696, Fri Nov 17 23:35:44 2023
1663, 999, 1671, Fri Nov 17 23:36:44 2023
1657, 978, 1682, Fri Nov 17 23:37:44 2023
1716, 1026, 1730, Fri Nov 17 23:38:44 2023
1624, 994, 1713, Fri Nov 17 23:39:44 2023
1580, 986, 1663, Fri Nov 17 23:40:44 2023
1668, 1010, 1711, Fri Nov 17 23:41:44 2023
1677, 1041, 1729, Fri Nov 17 23:42:44 2023
1657, 988, 1650, Fri Nov 17 23:43:44 2023
1642, 1029, 1728, Fri Nov 17 23:44:44 2023
1684, 1044, 1728, Fri Nov 17 23:45:44 2023
1665, 1002, 1703, Fri Nov 17 23:46:44 2023
1633, 987, 1635, Fri Nov 17 23:47:44 2023
1649, 1035, 1698, Fri Nov 17 23:48:44 2023
1696, 1027, 1741, Fri Nov 17 23:49:44 2023
1660, 1009, 1682, Fri Nov 17 23:50:44 2023
1661, 970, 1614, Fri Nov 17 23:51:44 2023
1604, 971, 1655, Fri Nov 17 23:52:44 2023
1691, 1021, 1698, Fri Nov 17 23:53:44 2023
1673, 993, 1673, Fri Nov 17 23:54:44 2023
1637, 1030, 1746, Fri Nov 17 23:55:44 2023
1642, 996, 1654, Fri Nov 17 23:56:44 2023
1635, 997, 1719, Fri Nov 17 23:57:44 2023
1662, 1000, 1711, Fri Nov 17 23:58:44 2023
1697, 1021, 1722, Fri Nov 17 23:59:44 2023
1622, 972, 1620, Sat Nov 18 00:00:44 2023
1668, 1013, 1719, Sat Nov 18 00:01:44 2023
1629, 993, 1647, Sat Nov 18 00:02:44 2023
1583, 947, 1587, Sat Nov 18 00:03:44 2023
1682, 1023, 1651, Sat Nov 18 00:04:44 2023
1630, 987, 1641, Sat Nov 18 00:05:44 2023
1649, 1011, 1607, Sat Nov 18 00:06:44 2023
1603, 953, 1640, Sat Nov 18 00:07:44 2023
1606, 973, 1685, Sat Nov 18 00:08:44 2023
1676, 1028, 1680, Sat Nov 18 00:09:44 2023
1693, 1000, 1689, Sat Nov 18 00:10:44 2023
1656, 1011, 1683, Sat Nov 18 00:11:44 2023
1593, 941, 1626, Sat Nov 18 00:12:44 2023
1683, 1040, 1686, Sat Nov 18 00:13:44 2023
1665, 1001, 1682, Sat Nov 18 00:14:44 2023
1616, 974, 1650, Sat Nov 18 00:15:44 2023
1743, 1054, 1713, Sat Nov 18 00:16:44 2023
1611, 947, 1600, Sat Nov 18 00:17:44 2023
1587, 948, 1589, Sat Nov 18 00:18:44 2023
